Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Rakshita Suresh,@RakshitaaSuresh,Apr 29,"Midnight muse  After a long & tiring day of rehearsals, back to my room & felt like singing this gem!  Blessed to be a part of the original song’s Kannada version! 
@arrahman
 #VeeraRajaVeera #RakshitaSuresh #PS2 #ARRahman #Maniratnam #PonniyinSelvan #music #gratitude #love",22,138,"1,563"
RappCats,@RappCatsAdopt,Apr 30,"Honey is simply stunning. She's ready to be adopted, & would love to be an only child. #cats #cat #beautiful #AdoptDontShop #Virginia #noVA #va #dc #WashingtonDC #maryland #SaturdayVibes #Saturday #caturday #KittyTwitter #CatsOfTwitter #CatsAreFamily #love #luv #gorgeous #wow",45,307,919
Pooja,@Pooja33719735,Apr 30,"Queen Elizabeth II was said to be particularly 'impressed' with the way Catherine adores & loves William 'for himself, not for his title'  

#PrinceandPrincessofWales #PrinceWilliam #PrincessCatherine #HappyAniverseryWilliamandCatherine #LoveStory",62,243,"3,454"
Jennifer Hedrick,@CaskettOlitz,Apr 30,Happy International Dance Day! Just look at them they're so couple goals! #InternationalDanceDay #MariskaHargitay #PeterHermann #couplegoals #truelove #meanttobe #soulmates,3,25,110
Pooja,@Pooja33719735,Apr 29,"""True love is finding your soulmate in your best friend"". 

- Faye Hall

Love that 12 years on, these two are still making each other giggle & blush like teenagers! 

#PrinceandPrincessofWales #PrinceWilliam #PrincessofWales #PrincessCatherine #CoupleGoals",8,95,711
JIZZLE +he ˢᶜᵒʳᵖⁱᵒⁿ,@iamjizzle_,Apr 29,"his is my journey, my story, my struggle.. 

Artwork : 
@iam
.golden6ix 

#MeVsMe #Album2 #BAKAU 
#THEJOURNEY #GROWTH #LOVE",14,82,282
Patrick Carney,@Carney_ART,Apr 29,"Historical fence knot hole on a cattle Shute deep in the wilds of Sedona. Have you ever been moved by a thought that came from inside as you witnessed Mother Nature?

#CarneyArt #MotherNature #Sedona #Healing #Love #Inspiration #Transformation #CattleShute #Desert #Art",2,7,16
Lisa N. Timmerman,@HTBDElisa,Apr 29,"Life is way too short, LIVE IT!
#life #love #kindness 
#HavetheBESTdayever® #ShineOn",2,8,47
Nand Gopal Gupta 'Nandi',@NandiGuptaBJP,Apr 29,"From Archive.....

A friend is someone who understands your past, believes in your future, and accepts you just the way you are.

#bestfriend  #frindshipgoals #love
#dostiyaari #dosti #friends",23,72,246
Jess Powerzz,@JdPowerzz,Apr 30,Happy #CaturdayShowing love to ALL the cute fuzzies & their Moms & Dad's on this #RainyDayBe with those who #love #appreciate you Stay #Lifted this weekend& let all the shitty things meltaway,4,1,25
Tappytoon Comics,@Tappy_toon,Apr 29,"We’re already heading into May!

Kick-starting the month with these new releases:
- Beast’s Flower
- Spirit Catcher
- The God of Flame
- The Real Daughter of the Qin Family

Read them on Tappytoon soon!

#Romance #Action #Fantasy #Tappytoon #Comics",2,30,133
Meggy_Spletzer_,@Meggy_Spletzer_,Apr 30,"SMG4: One Picture… Thousands Of Words And Thoughts…

- #smg4 #love #worried",11,28,153
It Is Written,@itiswritten,Apr 29,"Let us walk by faith and not by sight. 

#faith #hope #sight #see #believe #truth #love #walk #confidence #choice #itiswritten 
#verseoftheday #inspirational #salvation #God #Jesus #HolySpirit #Christ  #blessed #goodnews #gospel #Bible #photooftheday #scripture #iiw",3,18,70
Xplosion King,@KingMatsOffici1,Apr 29,"Thank you for coming through 
@LaikaMusic__
 #LoveStory is a good song  #Xfmxplosion.",4,9,74
The Sexless Swingers UK,@sexlessswingers,Apr 30,"‘It started with a cruise…’1 year to the day that we boarded a 
@VirginVoyages
…for those who listen you’ll know how the story goes!! #QuiteTheJourney #IsItASwingerCruise #CruiseLife #SuiteLife #Rockstar #WhoEvenAreWe #Bruges #WouldYou #IfOnlyYouWereSwingers #ENM #HappyCouple",2,,19
Justine Henzell,@JustineHenzell,Apr 29,"So proud of Jason Henzell running for the ⁦
@JakesHotel
⁩ team for the Triathlon  #bro #love #pride",7,3,60
Heather Strong,@Heather197276,Apr 30,"Today… A special day - 2 year #gotcha day anniversary #love #bernesemountaindog ⁦
@11mscooper
⁩",5,4,92
Eve Plumb,@Therealeveplumb,Apr 29,"Four colors for your Mom! Order soon for delivery before May 14th!

http://plumbgoods.tv

#mothersday #mom #mother #love #gift #special #mug #cup #coffee #tea #coffeecup #plumbgoods #eveplumb #daisy #happinessincluded #janbrady",8,9,53
Maximus The Pugladiator,@MaxiPugladiator,Apr 30,"“HooMom says when she takes me shoppies I’ms her Paddy Play Pal!” 
-Max

#max #pug #dog #doll #play #clothes #pattyplaypal #dressup #shopping #retailtherapy #buy #F1Sprint #DrRomantic3 #moneyspenders #shoptillyoudrop #doglover #puglife #dogmom #love #loveyoutothemoonandback ",,3,12
⍟ ᥫ᭡ Ɠя3тє ᥫ᭡ ⍟,@Gr3Te4rights,Apr 29,"Bon week-end  hope, someday, someone will love you, like this... Or more! Hope is only dangerous for the broken hearts  #puppy
#puppylove #AnimalsLover
#AnimalsMatters #AnimalRights #animalrescue #Dogs #Resist 
#UnconditionalLove #mentalhealth #relationshipgoals #GretiansTag",4,2,18
ℳ𝒾𝒸𝒽ℯ𝓁𝓁ℯ 𝒩𝒶𝓉𝓊𝓇ℯ & 𝒯𝒽ℴ𝓊ℊ𝒽𝓉𝓈 ,@KrisMichelleZ,Apr 29,"""I feel like I can shine through the light of your love, I love you too"" kMz (myn°2) #ThoughtForTheDay #trees #Light #Sky #NaturePhotography #naturelover #PositiveVibesOnly #April #Spring #love #peaceofmind #weekend #weekendvibes",4,10,64
Tre Hadrick,@MrLitEdu,Apr 30,"“An investment in knowledge pays the best interest.”
•
•
One day at a time — 
•
•
Teach them early, what you learned late!
•
•
Be lit!  #lit #love #reading #read #words #learn #hype #childrensbooks #barbershop #literacy #phonics #scienceofreading #laughter",3,1,21
Zenithnovel,@ZenithNovel,Apr 30,"Calling all writers! Share your latest book, blog, or WIP and let's connect. Spread the love and support fellow authors in #WritingCommunity  Genres we love: #fantasy #scifi #horror #thriller #yalit #nalit #romance 
#amwriting #writerslift",161,57,150
Ty of the Slime Realm,@nearsh0t,Apr 30,"Another Stardew Valley Romcomic: On the Record.(1/3) Shane’s backed off the the Alcohol and left his soul crushing Job. So, he’s gonna do what any adult man in a transitional period would do: start a podcast! #stardewvalleyfanart #stardewvalley #shanestardewvalley #romance",2,1,20
101WaysToFixOatmeal.com,@101Fix,Apr 30,"""Keep an open heart. We are wired to find love."" ~Helen Fisher #quote #love #oatmeal #heart #oats 
Oatmeal Love",1,13,35
heather,@heatherjaykay,Apr 30,What if #Love became the next trend? ,2,,18
Alveig Wadley,@Alveig_Svanni,Apr 30,My sweet Brownie when he was just a little baby  #mixedbreed #puppy #aussie #bordercollie #love,1,6,84
asmeh stan |,@burcu_bebekler,Apr 30,"the most wasted chemistry.

#aşk #melisaaslipamuk #alperenduymaz #egodizi #ego #ersib #cemker #çarpışma #elçinsangu #kivanctatlitug #yalıçapkını #seyfer #love #song #seniseviyorum #yargi #deniz #vedamektubu #asmeh",,4,27
Mayki | GTI.eth,@MaykiGTI,Apr 30,"NEED OF HOLIDAYS

Remember To Hydrate Yourself My Friend

& Above ALL, ENJOY !!!
@himynamestee
#MaykiGTI + #Tee = LVE #Forever #artist #rap #hiphop #USA #Ineffable #Voice #music #Musica #Musique #音乐 #מוסיקת #موسيقى #Happy #Love…",,10,12
Janet Journey,@janetjourney,Apr 30,Memphis TN Memphis Tn Together Again…#janetjackson #love #mood #memphistn #togetheragaintour,2,7,39
CusickGallery #IanAdoration #TeamCusick,@cusickgallery,Apr 30,"You can’t think of one without the other. Desmond and Penny.  #lovestory #LOST
#crossedtime #crosseddistance 
#HenryIanCusick 
#SonyaWalger",1,4,17
Da Doo Ron,@DooRon31,Apr 30,That’s me hame from a perf little date & there’s definitely going to be a date No.2!  Might be a winter wedding.  Not sure yet.   #romance,10,,40
Sharon Cummings,@Terracegallery,Apr 30,Endless Summer HERE:  https://fineartamerica.com/featured/endless-summer-red-poppies-art-sharon-cummings.html… #summer #Poppy #poppies #FLOWER #Flowers #floral #floralart #AYearForArt #BuyIntoArt #summer #love #Romance #romantic #homedecor #interiordecor,,58,66
Kathryn Knight,@k_knightbooks,Apr 30,"Happy #IndependentBookstoreDay!
DANGEROUS CURRENTS was an independent #book store's list of recommended reads & a write-up in #CapeCod Magazine! 
https://kathrynknightbooks.blogspot.com/2019/06/my-book-made-cape-cod-in-season.html…
#BookReview #wrpbks #romance #suspense #BooksWorthReading",,4,2
Tray Chaney,@traychaney,Apr 30,"Boys & Girls Club Of Chester Pa OFFICIAL HOST this evening TRAY. CHANEY! I wasn’t even gone Post BUT this is an incredible event that I want to bring awareness to! Love it all #consistency #message #life #greatCause #love y’all know I LOVE TO DANCE 
@BGCChester",3,8,49
JeannieLin,@JeannieLin,Apr 30,"RED BLOSSOM IN SNOW: Magistrate Li Chen and courtesan Song Yi must unravel their own tangled pasts to have any hope for a future. #mystery #romance
AMZ: https://amazon.com/dp/B09NPPZHWJ
Kobo: https://bit.ly/red-blossom-kobo…
Apple: https://apple.co/3jU31kW
Gumroad: https://bit.ly/gumroad_main",,3,6
Ballybacon-Grange Gaa,@BallybaconG,Apr 29,"With great weather the sunshine ensured another super morning with our fantastic families for Sports For All. 
#HurlingCamogie&Fun #Sportsforall #inclusion #ourclubisfamily #smiles #fun #love",,1,6
Mayki | GTI.eth,@MaykiGTI,Apr 30,"LISTEN TOTHIS SOUND MY FRIEND
@RZA
  HIT!!!

FATE OF THE WORLDFull Video
http://youtu.be/3cKvJUka_VM

ENJOY MY FRIEND
#MaykiGTI #RZA #WUTANGCLAN #LEGEND #KING #artist #USA #rap #hiphop #music #musica #Musique #מוסיקת #موسيقى #Love…",1,12,14
Tallaght RFC,@TallaghtRFC,Apr 29,"Now THATS a match day!! Congratulations to our Senior Womens players Louise and Grainne on their wedding day! We are so happy for you both with love from all your TRFC fam 
#weddingday #FromTheGroundUp #matchmadeinheaven #love #wedding #family",,3,16
Dr. Linda Berman,@LindaBerman4,Apr 29,"The mother-child relationship is paradoxical &,in a sense, tragic. It requires the most intense love on the mother's side, yet this very love must help the child grow away from the mother, & to become fully independent.

Erich Fromm

#mother #child #relationship #love #lettinggo",4,16,98
Kari Joys MS,@KariJoys,Apr 30,"The best medicine for humans is #LOVE. 

#JoyTrain #JOY #Mindset #Kindness #MentalHealth #Mindfulness #GoldenHearts #IAM #Blessed #Quote #IQRTG #IDWP #SaturdayMorning #SaturdayThoughts #SaturdayMotivation #ThinkBIGSundayWithMarsha",,13,16
Mayki | GTI.eth,@MaykiGTI,Apr 30,"LISTEN TOTHIS SOUND MY FRIEND
@jasonderulo
  NEW !!!

GLAD U CAMEFull Video
http://youtu.be/8FOUihb72UM

ENJOY MY FRIEND
#MaykiGTI #JasonDerulo #artist #RnB #rap #USA #beautiful #Ineffable #Voice #hiphop #Musique #מוסיקת #موسيقى #Love #Hope…",,9,11
