Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Learn about Sexuality: the facts & explanations!,@LrnAbtSexuality,May 10,"Male sex drive causes men to feel rejected any time a woman doesn't want intercourse, even when it's uncomfortable or painful for her. https://LoveSexIntimacy.org #JaneThomas #relationships #SexualHealth",,2,5
PAMELA WILLIAMS,@williams_pam,May 11,"Together we Can! 

Find Art Here: https://3-pamela-williams.pixels.com/featured/together-we-can-pamela-williams.html…

#quote #inspiration #challenge #goodvibes #beachlife #ocean 
#BuyArtNotCandy #AYearFotArt #gifts #Valentine #love #art #artwork #Romance #gift #ValentinesDay #HomeDecor #interiordesign #buyintoart #sharepamsart",,42,51
Mellie Miller,@Sultonna,May 11,"GAMBLER'S FOLLY
A world.
A series.
https://amazon.com/dp/B07XM3VRXK
#paranormal #Romance #shifters #indieauthor",,6,6
Sudesna (Sue) Ghosh,@sudesna_ghosh,May 11,"3 meet-cute quick reads

Free on #kindleunlimited worldwide

A Christmas Tail: https://amazon.com/Christmas-Tail-Heartwarming-Romantic-Cat-lovers-ebook/dp/B07Z41SZFC…

It Started With a Cup of Coffee: https://amazon.com/Started-Cup-Coffee-Sudesna-Ghosh-ebook/dp/B079KB2DHT…

A Sweet Mix-Up: https://amazon.com/Sweet-Mix-Up-Valentines-Day-Romance-ebook/dp/B07N95W3XV…

#romance #indieauthor #shortstories #kindle #RomanceReaders",,46,29
Wiz Khalifa - Parody,@TheWizKhalifa,May 11,"Relationships are built on trust, communication, and mutual respect. Without these, love can't flourish. #RelationshipGoals 

#LoveWins #famousquotes #quotes #quotestoliveby #MondayMotivation #whatsapp #whatsappstatus #shareinspirequotes",,8,9
Jude McLean,@readjudemclean,May 11,"Break Free: The O'Brian's, Book Two. 
https://books2read.com/BreakFreeTheOBrians…
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#romancebooks #bookseries #romanticsuspense #amwriting #authorscommunity #romance #lovestory #ireland",,26,12
TVOrville,@orville_265,May 11,Noticing a lot of Orville love today! The fandom is always awesome but really felt the love for our show today!  #TheOrville #RenewTheOrville #Moreville #TheOrvilleNewHorizons #Scifi #TheOrvilleSeason4 #BOOM #Fourville #Fourzion #Love #SaveTheOrville #WatchTheOrville,2,9,18
BeccaInBaltimore,@BeccaInBalt,May 11,"This is what Happiness looks like! New love - My Niece with her Girlfriend & my Parents 60 years married this year!  #Happiness #love 
@VaPriestess
 @PookieDigi4Ever",11,,27
Gunner Andy SGT el jefe,@jim73194352,May 11,"The boys hanging out. Probably discussing when dinner is. 
#rescuedogs #dogsoftwitter #love",2,1,55
Veronica (PR Manager) For #CreaturesOfClay,@RoverDov123,May 11,"Howdy Y'all! Wishing All My Friends A Happy Wednesday! Full Of #Love, #Joy & #Happiness!  
@CodieWestwood
 
@DrJimmyStar
 @Hatchatorium
@JC_MILLER_Music
  @johannastpierre
  @webimagineserv
  @mymusicliveson
 @my_indie_radio
@wiergeezy
 @PinkerJm
   @matteoskarsson
 @HubReynoldsJr",2,7,13
Blythewood FB Recruits,@BH_FBRecruiting,May 10,"Thank you, 
@BryanNewhouse10
, for visiting Blythewood and our student athletes today!
#Relationships
@JMMartin59
 @1ProudBengal
 @barrymizzell
 @FleetFB
 @GoBlythewood
 @BlythewoodHigh
 @BHSBengalFB",,7,13
Images and Quotes,@ImagesandQuotes,May 10,"Love Firsts Journal  
This Art Nouveau romantic notebook is for all your treasured memories of every first you experienced with the one you #love. 
https://amazon.com/dp/B083XVFVBJ",,3,6
Claire Dymock,@DymockClaire,May 11,Jack needs $400 urgent  #RussellCounty #PhenixCity #AL #Alabama please help him get out ALIVE  pledge donate foster adopt rescue #URGENT #Dogsarefamily #DogsofTwittter #dogsoftwitter #love #compassion #hope,1,8,4
HEACollective,@HeaCollective,May 10,"Happily Ever After Collective patrons will get to choose as many as four never-before-published novellas each month (depending on subscription tier), participate in live chats with authors, and receive exclusive content. https://happilyeveraftercollective.com #romance #readromance",,3,4
Q.QuEEn (艾瑞卡),@QueenQQ25,May 11,"#Thank_God_its_ThursDay
#Blessed_Morning_EveryBody
 #BT #TWTTTL #BW
https://youtu.be/EzFiyPIawHE
#Love_Song - One Sonic Society ft. Elle Limebear -
#Love#Peace",,2,7
School Bus Parents https://gofund.me/CEEEAD76,@pistnyc,May 11,Cheers to those who ran a clean campaign with no whining and are gonna be out here serving the youth regardless. #education #equity #Inclusion #Love,,2,7
Balroop Singh,@BalroopShado,May 11,"#Love, the magical word that brings along the first blush, the first missed heart-beat and also the first heart-break. Mother #Nature smiles as we recline in her lap for #solace. https://amzn.to/2V39FK6 #poetrylovers #booklovers #writingcommunity #KindleUnlimited #poetry #poet",,122,62
