Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Lanming,@lanming_artist,May 28,"𝘛𝘰𝘥𝘢𝘺 𝘺𝘰𝘶 𝘧𝘪𝘭𝘭 𝘶𝘱 𝘵𝘩𝘦 𝘥𝘦𝘦𝘱𝘦𝘴𝘵 𝘱𝘭𝘢𝘤𝘦 𝘪𝘯 𝘮𝘺 𝘩𝘦𝘢𝘳𝘵 𝘸𝘪𝘵𝘩 𝘺𝘰𝘶𝘳 𝘭𝘪𝘨𝘩𝘵  
 #draw #lanmingart #romance #乱あ #天道あかね #らんま #ranmasaotome  #akanetendo #fanart #artwork #Ranma1_2 #0527乱あの日 #ranmaxakaneday  #wedding #marriage",1,12,37
eNZYM,@enzympb,May 28,"DEAR LOVE, TO ME YOU’RE A JOKE
—-
I OWN NO RIGHTS TO THIS BEAT
#hiphop #rapper #drill #ghana #hopsin #trap #love #enzym #illmindofhopsin",,10,18
Babirye Edith @LFC,@edithrael,May 28,"End of the 
@LFC
 Season ... Thank you lads #lfc #liverpool #love",20,24,592
Atta Welfare Foundation (AWF),@AttaWelfareFDN,May 28,"Sending boundless love  from our Afghan brother! Let's spread positivity and kindness to one another. Together, we create a welcoming space where support thrives. Appreciating each unique perspective. #Afghanistan #AttaWelfareFoundation 
#Pakistan #love #attaWelfareFDN",16,39,516
The Real Taylor Wilde,@RealTaylorWilde,May 27,Love is love. #witch #love #death #rebirth,7,33,354
MOO HSEN,@4_sam_,May 28,You are my #love and my #Dreams,,2,5
Sadepiippu,@pipe_rain,May 27,"100 followers! Thanks everyone, I'll be celebrating this with a cold beer.
All the best and #peace & #love.",82,68,371
Shaikh Samiur Rahman,@SkSamiurRahman,May 28,"Our #Jihad is of #love #mercy and #compassion  Our Jihad is of #tolerance #justice and #human #sympathy
#islam #Ahmadiyya #peace #KhilafatForPeace",1,29,53
Brooklyn Morgan Johnson,@BrooklynMorganJ,May 28,"i am here right by your side

kissing your soul with the kindness of the clouds

holding hands lifting one another
smiling laughing crying

with the hug of a rainbow
+
memories of an oceans salt

you are never alone
i am here for you
always

~ brooklynmorgan
#inspire #love",5,14,31
Keanu C Reeves,@KeanuCR87331040,May 28,"Seeing people happy makes me feel much better, I can't stop that for any reason. 
#Dogstarband #KeanuReeves #KCR #JohnWick4 #love ",8,8,60
HyoseopSejeongOnly,@fendymolly,May 28,"No caption needed 

#CoupleGoals #AhnHyoSeop #KIMSEJEONG #Hyojeong ",,8,86
