Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Casemiro,@Casemiro,May 28,"Thanks, Reds! Thanks, Old Trafford! See you at Wembley! 

#MUFC #MUNFUL #Family",775,"6,875",71.8K
David Cruz Sr.,@Cruz316,May 30,"The greatest story ever told.....
There will be documentaries about the #bloodline 
It's as real as it gets #FAMILY 
FAMILY is always the biggest struggle 
#WWENOC #WWE #TribalChief #usos #RomanReigns #RealTalk",,5,18
Sir Power,@SirPower9,May 28,"We recreated it. Big bro with kid sisters 

#Familylove",8,8,115
GAmeeliteatl,@gameeliteatl,May 29,"Twitter World, I can’t let the day go by wo wishing the 1st Lady of Game Elite Basketball “Ms. Peaches” a very happy birthday! Let’s celebrate her today!!!! Without her, there is no Game Elite! Enjoy your day!!! #weallwegot #family #coachp",2,24,84
Shiba and Koji,@kojiandshiba,May 30,"We are proud to announce collaboration video with our favorite brand ""on""!! To our dearest followers!
Check it out from this link!

https://instagram.com/reel/Cs0koB_gAok/?igshid=MzRlODBiNWFlZA==…

#on #family #dadslife  #trekking #fatherandson",21,344,"3,202"
Gavin Geddes,@GavinGeddes7,May 29,My life story #Soundtracktoalife coming this year #TrueStory #book #film #ChildSexAbuse #football #prison #mentalhealth #family #seekingjustice #Closure From Left Wing to B Wing ,,22,21
Chris Sky,@chrissaccoccia1,May 30,"I TOLD YOU. 
@oliviachow
 wants to push SOGI and the LGBT agenda on YOUR CHILDREN.

We need to protect them.

Chris Saccoccia for mayor!

Retweet with the #chrissky
And put Chris Saccoccia for mayor in your profile!!!!

#topli #mayor #toronto #family #children #sogi #lgbt",62,305,649
NateBige,@NateBige,May 29,"Day 22 of Tweeting until 
@AaronScottJr1
 commits to THE university of Michigan! 
#NoFlyZone 

#Family | #GoBlue | #Born2Play4Michigan | BF",7,12,110
NateBige,@NateBige,May 30,"Day 18 #WEWANTBOO 
@boo_Carter6
 ake That ove! Come help Oden create that NO FLY ZONE! 

#GoBlue | #Family | #Born2Play4Michigan | BF",2,13,116
Your career in Germany | deutschland.de,@ger_service,May 29," Do you want to #work in #Germany?

 Here's everything you need to know about:

working with a family
 childcare

...and the benefits for working parents in Germany.

#WorkingInGermany #AboutGermany #jobs #career #family",6,27,294
