Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
WeLoveDonegal,@welovedonegal,May 7,"Don't forget folks, tomorrow #Monday is now officially #DonegalDay so we can kick the week off with great photographs of #Donegal 

So get picking the ones you will tweet tomorrow ~ let's get Donegal trending! 

#WorkTogether #Friends #Friendship #Happy #Photography #Ireland",4,12,34
Zing,@zingtv,May 8,"#HallyuTime | Swagat nahi करोगे Hwarangs ka 
Watch #Hwarang, starts today, every Mon – Fri at 6 PM only on Zing 

.
.
.
#Hwarang #ParkSeoJoon #ParkHyungSik #V #GoAra #ChoiMinHo #DoJiHan #LeeDaIn #SeoYeaJi #ChoYoonWoo #KimJiSoo #Warriors #Friendship #Love #Romance #KDrama",2,40,113
Hubble,@Hubble_BTerrier,May 9,"Playtime with 
@Tali_the_Toller
.  #BestFriends",3,2,77
TheEnglishCaravanCo,@TheEnglishCarav,May 9,"Morning Campers!...  

#morningcampers #haveagreatday #lotsoflove #caravanlove #friendship #love  #caravanfamily #smile #behappy",,3,11
"Angel Mushu, Zinny, Winny",@mommasboymushu,May 9,"THANK YOU 
@PetuniaMaePug
 & momma for the rainbow bridge chime! We love wind chimes and the delicate sound they make. We appreciate you being  wonderful friends to us. Love -Angel Mushu  & momma #pugsoftwitter #dogsoftwitter #friendship #love #memories",19,4,127
ViviChriskaLivLoveLaugh,@Chriska_EO_,May 9,"My #Chriska heart is full  always together for the good causes  
@Mariska
 @Chris_Meloni
 @denisleary
 @learyfirefighters #foundrising #FireFighters #challenge #friendship #PartnersInCrime #EO #supporting #goodcause #goodvibes #nyc",2,5,26
Cardiff Demons RLFC,@CardiffDemons,May 7,"Game Day

 Challenge Cup - Round 2
 AJ Bell Stadiun  - M30 7EY
 07/05/2023
 13:00 KO

#WomensRugbyLeague #CardiffDemons #ChallengeCup #Group1 #Round2 #Fixture #Clash #SquadAnnouncement #SquadGoals #TeamNews #KweensOfTheSouth #NorthMeetsSouth #UppaDemons #LetsGo",,6,11
Jake The Silver Lab,@jakesilverlab,May 7,Early morning treats ! Good morning to all of our new friends! It’s going to be a beautiful day!  #dogsoftwitter #BestFriends #silverlab #labradorretriever,1,1,34
The Snoopervisor / Wilma,@WilmaBenton19,May 9,"Oh my dogness I got the best package today! Surprise toys and treats from 
@TNflattop
 and even some cool stuff fur my mom. We are overjoyed at their kindness! Plus, Nash is gonna go bananas over this banana!! 
#dogsoftwitter #friendship #KindnessMatters",14,17,407
Amir Hossain Babu,@AmirHos89354278,May 6,"Great moment of #Friendship a new era of cooperation between #PM ⁦
@RishiSunak
⁩ ⁦
@10DowningStreet
⁩ & #PM #SheikhHasina ⁦#Business #Investment #Growth #ClimateChange #Rohingya #inspiration #RoleModel - you name it. ",10,14,76
Carla Renata,@TheCurvyCritic,May 7,"Where my girls at??!! Right here with 
@YNB
 as we celebrated our friend 
@OctaviaSpencer
 being awarded 
@CityYearLA
 and missing fourth @therealSonyaEddy #fourdivas #CityYearLA #friendship",2,7,62
Inspiration by John,@LifeWithJohn,May 9,One of those beautiful qualities of true friendship is to understand and be understood. - Lucius Annaeus Seneca ~ #Friendship,2,32,49
Jen D. (cardmakerjd),@jen_deslauriers,May 6,Great day so far  #girlsweekend #SalemMA #drinks #friendship #tattoos #art #murals #dispensary #sohappy,3,,28
Stupid Wife International,@stupidwifeintl,May 7,"@aPriReis
 shy?Buiar must be a bit intimidating with that stare… mixed with yours… onset. #stupidwife #FriendshipGoals #valu #buiareis",,17,146
Nokomojela,@Nokomojela2,May 5,"Last week Friday (28.04.2023), we had a black tie event (Thanksgiving). The main aim of this event was to reflect back to all the challenges we faced over the past years, to celebrate our achievements, our friendship, and encourage each other #FriendshipGoals",,1,19
Jen D. (cardmakerjd),@jen_deslauriers,May 7,"Back home after a fantastic #girlsweekend in #Salem. Weather couldn't have been better! Next trip in the works. Finally starting to live my life  need a few gallons of water  & a slight detox, though  #friendship #tattoos #enjoylife #freshstart #KentuckyDerby",6,,30
