Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
RappCats,@RappCatsAdopt,May 2,"Tig & Marigold have successfully transitioned into the #cat tree room. They're close buddies & if they stay that way, we will only adopt them out together.#cats #adoptdontshop #pets #kittens #friends #love #luv #VIrginia #noVA #DC #WashingtonDC #KittyTwitter #PositiveEnergy",19,141,460
Sharon Moseley Art,@art_moseley,May 3,"So Miguel is complete.. i LOVE his furriness  
#furry #colorpencil #ArtOfTheDay #twitterart  #Donkey #fluff #love #snoot #muzzle #drawingart #drawingoftheday",2,3,16
Elayne Animals & Comedy Boosler,@ElayneBoosler,May 3,"Such a major, beautiful, meaningful part of the soundtrack of our lives. Wishing peace to #GordonLightfoot's family and friends. Here at 80, standing for 2.5 hrs singing non stop, 2019. Thank you for all of it. May you rest in peace. #beauty #love",20,48,343
~Mariama,@mariama_beyai,May 2,"You can never go wrong with a black Abaya 
#halal #muslimah  #hijab #Gambia #selfie #love",1,2,23
Arwa #SpencerMoveOut #SupercoupleSprina,@Arwa_SJW,May 2,"Spencer: Me and my girlfriend 
Spencer: I only care about Trina!
Trina: Is he okay?
Trina: I’m not leaving him!

Be still my #Sprina heart! Our babies LOVE each other so much. They are each other’s ride or die.  #TrueLove #SupercoupleInTheMaking #Sprinadventure #GH",4,37,185
FoodPorn: The Original,@FoodPorn,May 2,"Anyone else tired of this economy?
 

#finance #wealth #crypto #success #fish #travel #love #food #shopping",14,12,47
Bruce Van Horn,@BruceVH,May 3,"Every new day is a gift… No, it’s a miracle!

#Mindfulness #Love",8,41,146
Patrick Carney,@Carney_ART,May 3,"Don’t be afraid to be different.

#MichaelJackson #Art #KingOfPop #CarneyArt #KingofPopMichaelJackson #GlovedOne #Love #Music 
#ThereIsOnlyOne #MJFam #Quote #ArtOfTheDay #MJ",7,27,77
MALCOLM WORLD FOUNDATION . MOMM,@Malcolms_World,May 3,Yesterday was his posthumous birthday but today is the 54th month his life was taken. We might never know why. Rest on Fresh Prince #legend #hero #peace #love,,9,28
Amanda Hunt she/her  #alaac23,@thenextgenlib,May 3,What ru in the mood to read? For #AAPIHeritageMonth I’m sharing some #MG crush #books & #YA #romance #bookrecommendations All 6 slides linked in bio! #AAPI2023 #AAPI #AAPIHM #librarytwitter #BookTwitter #librarians #librarian,1,8,18
