Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Elana,@Elana__Love,May 22,What lights your Fire... #Love,317,358,"4,813"
Explore Haikou,@ExploreHaikou,May 21,"“520“ is homophonic to “I love you” in Mandarin; thus, the day of May 20th has been dubbed the Internet Valentine's Day in China. Every year on this day, many young couples queue up in marriage registries in #Haikou, and the whole city is full of #romance.
#ValentinesDay…",9,68,"1,565"
Catherine,@catherine198560,May 21,"When you trust a person without reservation, there will only be two results, the one in the life of the person in the life of a lesson
#Love is not control and demand, love is respect and acceptance",15,26,141
serra,@sheanxgarcia,May 22,"hmm... lovers quarrel...?

#danstelle #honkaistarrail #honkaistarrailfanart #danheng #love #stelle #loversquarrel",,34,355
Misha,@Misha_Again_,May 22,"I could not be any happier in this moment.
And my boy invited me to go skating at the skate park with him.
Omg. Imma cool kid now! 
#familytime #love #summertime #skateboarding #weekendmood #weekendvibes",4,1,39
Patrick Carney,@Carney_ART,May 21,"If you can’t afford to travel, you travel mentally through reading. You can see anything and go any place you desire to in reading.

#MichaelJackson #Art #KingOfPop #CarneyArt #KingofPopMichaelJackson #GlovedOne #Love #Music 
#ThereIsOnlyOne #MJFam
#artoftheday #Quote #Desire",9,24,55
Aurellia ♡☆♡,@Aurellia42,May 21,"Follow my.
#Love
Love you all 
#Beautiful",18,61,469
CJ,@CJLovesEggnog,May 22,How it started vs how it’s going #Love #APEX,4,3,41
Kari Joys MS,@KariJoys,May 22,Be #Love.  Be #Light!   #JoyTrain #Joy #Peace #Kindness #MentalHealth #Mindfulness #GoldenHearts #IAM #ChooseLove #Blessed #IDWP #IQRTG #SundayMorning #SundayMotivation #SundayThoughts #SuperSoulSunday #ThinkBIGSundayWithMarsha,1,25,68
Judge Reinhold,@JudgeReinhold,May 21,"Thanks to all you guys for the birthday love -

#Birthday2023 #gratitude #love #lifeisgood",9,5,43
Bahá’í Friends,@BahaiFriends,May 21,"Love is the foundation of our existence, and it is through the love of God that we find our true purpose.

Without this love, the world would be devoid of all its beauty and meaning, and our hearts would remain disconnected. 

#love #bahai #faith #bahaifaith",1,11,52
Karita Mattila,@MattilaKarita,May 22,"Holiday week #2. Starting tomorrow.

Sunshine. Warmth. Swim. Jacuzzi. Privacy.

Home is best.

#Florida #LOVE",11,2,316
The Battle Bunnies NFT,@battlebunnynft,May 21,"hear hoplite's tale of his epic adventure with his friends! 

listen for free here:
 http://thebattlebunnies.io/novel 

#hop #story #audiobook #audible #spotify #book #novel #fun #adventure #quest #danger #epic #character #flufflefam #BattleBunnies #amazon #free #NewBook #love",5,19,24
Big Cat Rescue,@BigCatRescue,May 22,"“Kindness…a simple way to tell a struggling soul that there is love to be found in this world.”

#SummerBobcat #BigCatRescue #Rescue #BigCats #Kindness #KindnessMatters #Quotes #QuotesToLiveBy #Love #Cat #Bobcat #Florida #Sanctuary #CaroleBaskin",1,20,75
B∆RZ ® B3∆$T,@BarZaTTacKs,May 21,Mad props to the manual labor workers behind the #bridge   We #love you  #HEX #FAMLY,5,9,103
It Is Written,@itiswritten,May 21," God has amazing things in store for the future. 

#thanks #miracle #faith #love #help #faith #trust #future #itiswritten #verseoftheday #inspirational #God #Jesus #HolySpirit #blessed #gospel #Bible #photooftheday #scripture #iiw",1,16,70
NataliCuteeli,@NataliCuteeli,May 22,"A little retro with a hint of pink will be pleasant this evening 

#cuteeli #art #love #nature #cute #beautiful #NaturePhotography #spring #positive #beauty #pink #garden #flowers #gardening #floristics #floriculture #blossom #TwitterNatureCommunity",9,13,122
