Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Michael Lucas,@Michael_LucasSR,May 12,"#TBT “Reflecting on Kol”  
@MrKenMitchell
 #StarTrekFamily #TeamKlingon #FriendsForever #hope #science #EndALS #FanArt (Originally posted July 17, 2018.)",2,3,14
Vicky,@Vicky88201582,May 15,Aww who’s seen the photo of Rob Burrow’s been carried over the finish line by Kev Sinfield at the Leeds marathon ?  #friendship,7,1,32
Paddy rip louis,@paddyscousedog,May 12,"#flybyfriday remembering Millie Otto & Mac 
@MillieOTLFP
 @OttoPuddles
 @macwhittle
 #bffs ",3,4,11
Nici Pedley,@NiciPedley,May 14,Amazing day watching the Rob Burrow Leeds Marathon 2023 - great to see the community coming together to fundraise and support each other #friendship,,,15
𝐃𝐫 𝗠𝗼𝗻𝗺𝗼𝘆𝘂𝗿𝗶|♡ˢ|JᵒʰⁿAᵇʳᵃʰᵃᵐ,@DrMonmoyuri,May 15,"Prince looking So Charming !!! 

PC Edgar Pinto #TrueFriends #FriendsForever #AnimalLovers",1,8,19
Isabella Fredrickson,@isabella_fred,May 14,"While 
@Cronkite_ASU
 has provided me with countless skills and experiences to succeed, the BEST thing I got out of these 4 years is all of the amazing and lifelong friendships. Meeting at the start of freshman year, through adversity and a pandemic, to graduating together. #bffs",2,5,29
All Elite Wrestling,@AEW,May 11,"#BestFriends (
@sexychuckiet
 @trentylocks
) and 
@bandidowrestler
 team up to challenge the #AEW World Trios Champions #HouseOfBlack for the title in an OPEN HOUSE MATCH!

Watch #AEWDynamite LIVE on TBS!",6,104,397
Kim Ingram,@KimIngram22,May 11,"Last day of shake sales 
@LSPioneers
 @lshspioneers
 It's been a great year!! Counting our money! #friendship #lifeskills #community #lovewhereyoulive #lovewhereyouwork",,3,9
Pamela Kaval - Author Actor Filmmaker,@KavalAuthorActs,May 15,"What's your favorite song about ""friends""? There's so many songs about lovers, but there seems to be fewer songs about friends. I'm trying to put together a friend song dance mix.  #dance #songs #song #music #friends #friendship",108,8,104
Inspiration by John,@LifeWithJohn,May 15,"A strong friendship doesn't need daily conversation or being together. As long as the friendship lives in the heart, true friends never part. ~ #TrueFriends",1,5,15
Nicolas Merke,@NMerke,May 12,"#EACVI2023 did something more than delivering excellency but has  created #friendship amongst so many great enthusiastic  imagers by giving us the opportunity to meet finally f2f 
@echo_stepbystep
 @eromerodorta
 @FGraziani_Grace
 @dr_benoy_n_shah
 @saramoscatelli7
 @alexsfelixecho",8,11,83
Michael George Bathurst #ShoutMGB,@michaelbathurst,May 15,"Keep Shining Your Powerful Light #friendship #KindnessMattersッ 
#CommunityEngagement 
@BCravenArt69
 
@BillyDees
 
@jacejacobs
 
@tripletsfan19
 
@DavidGogoBlues
 
@billy2kid45
 
@LightofEmotion
 
@elanaelivision
 
@_Tedora_
 
@tim_fargo
 
@purplehayz
 
@FelixNater
 
@ChowdharyKarann",2,3,10
Zeynep Küçük,@womaneng,May 12,"Today's office view #galata, a bustling cafe filled with the aroma of freshly brewed coffee. Working alongside my amazing friend, fueling our creativity with caffeine and good conversation. Cheers to work-life balance . #CafeWorkspace #FriendshipGoals 
@ecehanyildirim",2,1,23
Lara Jill Miller,@LaraJillMiller,May 13,Tomorrow! #mollymcgee #libby #bffs ,10,20,133
Inspiration by John,@LifeWithJohn,May 15,True friends don't let an argument get in the way of their friendship. A real friend is not afraid to apologize and is quick to forgive. ~ #TrueFriends,,6,13
Zach Anner,@Zachanner,May 15,"Does anyone else with a disability ever think “Man, I gotta invite some friends over; I can’t reach the shelves to put these dishes away“? #Friendship",4,,48
Nadiadwala Grandson,@NGEMovies,May 15,"Family: The ultimate #SquadGoals 
Here’s celebrating #InternationalDayOfFamilies  

#SajidNadiadwala 

#Baaghi3 #Housefull4 #2States #Judwaa2 #Heropanti #Kick #HeyyBabyy #KambakkhtIshq 
@WardaNadiadwala
  

#NGEMovies #NGECharacters  #InternationalDayOfFamilies2023",,6,18
Rocket86,@RocketAce86,May 13,"Absolutely fkn Love the Bad Dogs Community and the passion i have is Growing Daily!!! Nothing compares to what they All bring to the table and solid hearts.. and the Art  sheeeesh!! Thank u 
@BadDogsCompany
 #bestfriends #onlygetsbetter #NFTCommunity",1,6,17
reyhane,@reyhane42246673,May 15,"The most beautiful discovery true friends make is that they can grow separately without growing apart.
#MondayMood 
#Mondaymorning 
#friendship",1,2,6
Sanctuary Runners Ireland,@SanctuaryRunner,May 13,"Some of our Sanctuary Runners getting ready for the off at the 
@RunKillarney
 10km this morning! An amazing buzz here in beautiful Killarney 

#Solidarity #Friendship #Respect",,6,28
BeeBop ᴺᶠᵀ,@BeeBopArtwork,May 14,"https://objkt.com/asset/KT1E4HajZ8jcxsYVrQmwFgJAs6cUjvHZfeP6/51…
Kidz in the Metropolis

Hanging around the city with friends. Doing nothing & everything at the same time.

3075 x 2293

4.00 ꜩ #rtitbot #tezos #friendship 
@BlazedRTs",,11,14
Katy Brock (KB),@krb1121,May 14,"So proud of all my girls & the game they played the last 3 days!! Such great competition by both teams! Congrats to 
@FarmerSoftball
 on their advancement to Regional Semis!  y'all! #FightFarmersFight #bestfriends #softballfamily 
@jamie_varga
 @CarleighDeeds
 @AmrieClower",2,3,17
ZL4Love-n-God,@ZEL4LovenGod,May 14,"These two bffs, bf/gf, soon to be thee hottest lovers

#Sprina #Sprinadventure #GH
#BFFs #Soulmates #SuperCouple",2,8,70
Graham Clifford,@GrahamJClifford,May 13,"A joy to be in Killarney today with the 
@SanctuaryRunner
 - So much positivity, decency and fun in the Kingdom. And brilliant running! Let's build that blue wave and focus on positive proactive community integration 
@RunKillarney
 

#RunAsOne #Solidarity #Friendship #Respect",1,3,32
International Children's Author,@birdwriter7,May 13,"https://amazon.co.uk/Girl-Red-Cape-Fairytale-Retelling/dp/1699286094/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1683987497&sr=1-1…

https://amazon.com/Girl-Red-Cape-Fairytale-Retelling/dp/1699286094/ref=sr_1_1?crid=2Y5K5MC3D5I44&keywords=The+Girl+in+The+Red+Cape&qid=1683987557&sprefix=the+girl+in+the+red+cape%2Caps%2C264&sr=8-1… #kidlit #kidlitart #middlegrade #books #booktwt #teacher #outdoor #doglovers #fairytale #Alaska #mythology #familyvalues #loyalty #friendship #love #magical #nature #ReadersFavorite 5-stars #KindleUnlimited #illustrated #paperback",2,21,26
Keith Salmon,@keith_salmon,May 14,You don’t need to watch anything else today #BestFriends ,,,25
Chrissie Wellington,@chrissiesmiles,May 15,What a recap. What a race. #friendship #RobBurrowLeedsMarathon,,3,34
Johvelsson,@jofistics,May 14,They are SO adorable! #Eurovision2023 #Eurovision #Finland #Slovenia #Käärijä #Bojan #TrueFriends,1,1,20
Mrs C-T,@SenoraCT,May 13,"With the enlightened free spirits today. The importance of the support network and beautiful souls  
@ncsm111_nicola
 @PaulineMurray8
 #support #friendship #birthdaygirl",,5,19
Belinda Okyere RGN,@CNFBelinda,May 15,"Just had an amazing chat with 
@JoM0oRe
 @TiffanyWishart1
 #qualityforum 
Connecting with others is truly one of the best parts of life. #grateful #friendship 
@QualityForum
@NorthMidNHS
 
@abc_parents",,3,12
Jan Romes,@JanRomes,May 15," Elaina, Tawny, Steph & Grace - each woman brings something unique to the friendship  #womensfiction #KU #humor #mischief #StartingOver #friendship  https://amazon.com/gp/product/B00SQ7SQ14?notRedirectToSDP=1&ref_=dbs_mng_calw_0&storeType=ebook…",2,106,59
Steve Henderson,@SHendersonArt,May 14,"Time spent with a friend passes by quickly.

Waiting framed print -- https://2-steve-henderson.pixels.com/featured/waiting-steve-henderson.html?product=framed-print…

#horses #barn #country #buyintoart #art #artwork #quote #friends #friendship #rural #two #thoughtoftheday #waiting #quiet #peaceful #calm",,8,27
Brendan Cruise,@brendancruise,May 14,Absolute class personified #Friendship,,1,19
BookZoid,@Bookzoid,May 12,"A fun-loving look into a great #friendship between a #cat and #dog. Princess, the nicely groomed cat, wants to have a relaxing #day, but Oscar, the big, athletic dog, attempts to get Princess to join him in a #game of #fetch.  
http://mybook.to/Princesscould",,2,4
Snooker Legends,@Snookerlegends,May 13,"so 
@evans_reanne
 go hit balls, but other things in life far more important. Legacy is protected... x #friendship #health #beingafantasticmum #nevergivingup #nevergivingin #fightforwhatisright #agoodperson",1,2,46
Patricia M Osborne,@PMOsborneWriter,May 13,"""I loved following the family’s journey and can recommend this trilogy wholeheartedly.""

Download #FREE with #KindleUnlimited buy #kindle #paperback 

http://mybook.to/HouseofGrace

#IARTG 
#1950s 
#fashion 
#romance
#friendship 
#love
#sagasaturday 
#weekendreading
#trilogy",,26,16
Tania Crosse,@TaniaCrosse,May 14,"She sacrifices her love for duty -  but can she live with the consequences?    
#Ireland #WW2 #Plymouth #Blitz #saga #suspense #drama #heartbreak #family #friendship http://amzn.to/3fB54vd        
Bk 10 #Devon #series
£1.99 #KindleUnlimited #paperback #Audio",,35,14
Michael George Bathurst #ShoutMGB,@michaelbathurst,May 15,"Keep Shining Your Powerful Light  #friendship #TwitterSpaces 
@RedaMor_
 
@martinhoyes
 
@sbssforme
 
@BeeAsMarine
 
@elaine_perry
 
@AriaaJaeger
 
@itsdangoldfield
 
@GaetanoDiPietr9
 
@Nicochan33
 
@GordonTredgold
 
@SoMCoaching
 
@TheRock
 
@Chrissyhowell16
 
@chidambara09
 
#Joy",4,3,6
kenneth Mckenzie,@Mr_Mckenziek,May 14,"We talk about kindness, empathy and looking out for others, these two men are incredible! The world would be a better place with more people like this. Truly inspirational! #kevinsinfield #hope #FriendshipGoals #love",,1,17
Julie Parker,@JulieParker144,May 15,Good morning Friends.  Live in love and have faith in God. #GoodMorning #friendship,1,3,4
Claire Ryan,@ClaireRyanSport,May 13,Looking forward to seeing these two at the start line tomorrow. Kev is pushing Rob around the 26.2 mile course so they can take part in the #RobBurrowMarathon together #friendship ,5,3,169
Rocky Clark MBE,@RockyClark_1,May 14,"Couldn’t see a more inspiring and loving video. Wonderful to see 
@kevin_sinfield
 carry his best mate 
@Rob7Burrow
 over the line after a marathon. Raising vital funds for #MND . Thankyou for all you do Kev   
@England_RL
 @leedsrhinos
 @mndassoc
 @EnglandRugby
 #friendship #love",4,7,83
Steve Henderson,@SHendersonArt,May 15,"There is nothing social about distancing oneself from the companionship of friends and family.

Golden Sea metal print -- https://2-steve-henderson.pixels.com/featured/golden-sea-steve-henderson.html?product=metal-print…

#golden #sunset #friendship #art #buyintoart #artwork #weekend #humanity #normal #sailboat #sailing #quote #wisdomoftheday",1,15,47
Pete Greig,@PeteGreig,May 14,So moving. #friendship,1,6,91
Julie Smith Ⓥ#Pigoneer,@BirkieJoolz,May 14,"No, YOU have something in YOUR eye . Good luck to everyone out there running today.

#Friendship
#LeedsMarathon",,1,10
Richard Frediani,@BBCFrediani,May 15,"A beautiful recreation of an amazing moment by Oscar winner Charlie Mackesy…

Rob Burrow & Kevin Sinfield 

 #friendship",2,3,23
Olanrewaju Oyinbooke,@TheOyinbooke,May 12,"""Make Power BI DAX your ultimate ally. #DAX #FriendshipGoals #PowerBI #PowerBIDAX",,20,41
amy dunmall,@ADunmall,May 14,"An incredible day in Leeds.  we were all moved to tears seeing 
Kevin pushing Rob Burrow 26 miles. So many inspired by their #friendship #love #care #commitment . He carried him over the finish line, beautiful ",,2,15
