Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
SoyNanaWe,@nanaart20,Jun 4,"I haven't seen the movie (yet) and I already ship these two(?)
Uncensored image: Miguel O'Hara x Peter B. Parker  https://privatter.net/i/7191045
Semi censored: https://pixiv.net/en/artworks/108732256…

#AcrossTheSpiderverse #MiguelOHara #PeterBParker #ship #love #SpiderVerse",3,71,"1,131"
Dava Moms,@DavaMoms,Jun 1,"Do you think i'm lovely ? Yes or no ?

#relationship #love",485,95,"2,378"
Bożena No DM,@Boena79950810,Jun 1,"Good morning everyone.
#TwitterFriends
#Love",70,140,"1,493"
DailyNoah.com,@DailyNoahNews,May 29,"Should Kevin McCarthy Be REMOVED As Speaker? https://wltreport.com/2023/05/29/should-kevin-mccarthy-be-removed-as-speaker/… #love via 
@DailyNoahNews",86,88,309
Kari Joys MS,@KariJoys,Jun 2,"Be a Good Person! #JoyTrain #Joy #Love #Kindness #Quote #ChooseLove #Mindfulness RT 
@Dianne__LadyD",4,31,52
Mimansa Shekhar | मीमांसा शेखर,@mimansashekhar,Jun 4,"Recently, I was thinking how #SPBalasubrahmanyam's voice is kinda instrumental in cementing #SalmanKhan's career in 1990s. Not taking away their hits in Rajshri films, Saajan etc, #SaathiyaTuneKyaKiya tops my list.
SK and #Revathy's beautiful pairing in #Love
Co-singer: #Chithra",23,47,325
Ghettokids_tfug,@ghettokidstfug,Jun 4,"Today is a Special Day for Us, for  Uganda and Africa,  we on the 
@bgt
 Finals Tonight! We are on at 7:30pm GMT, and 9:300pm EAT. We got this! 
-
To our UK fans, Please Vote for us we need to bring this home! #inspireghettokids #ghettokids #love #bgt  #britainsGotTalent",52,259,"1,820"
FoxFairyProject(44.4%),@FoxFairyProject,May 31,"Fox Fairy bestows blessings.

Fox Fairy has gathered enough power from the believers' faith to send a love spell.

OAT:
https://galxe.com/foxfairyproject/campaign/GC4eZUNnXX…

Enter
Explain your ideal partner criteria

Fox Fairy's OAT will ensure you find your ideal partner

#LOVE",337,734,749
k.c.reeves_lover,@turalsima,Jun 3,Good morning #life  #love #friends #KeanuReeves,,5,49
S♡Boż♡ena.No DM,@Stellmacher20,Jun 3,"Beautiful 
#TwitterFriends
#Love",5,90,599
Jex Cupid! Bree,@QueenMe90_,Jun 3,"Dex:”You are special, once in a lifetime, and the thought of losing you scares me because I am in love with you, Josslyn!”   #Jex #TrueLove #DynamicDuo #TheChemISTheChem!!  #GH 
@RealEdenMccoy
  @EvanHofer",1,6,55
Jenny From the Block,@Jeanna350,Jun 1,"Hell Comes to Frogtown 1988 
#RelationshipGoals ",21,25,277
shikoshiii▲ I love HanaNene ▲,@shishilovesarts,May 31,"Kisses
#HanaNene #Hanakokun #hanako #yashironene #YASHIRO #tbhk #jshk #jibakushounenhanakokun #toiletboundhanakokun #jshkfanart #FANART #ART #digitalart #art #love",7,86,380
Kinoko and the Cult of Galaxy,@cultofgalaxy,May 30,"""Oh m gee guys they should just like kiss already X X X""

#cutecouples #Harpettelovesyou #followmyinstagram #KupetteandKinokoFOREVER #CuteAF #Truelove #happycouple",14,85,320
Vera Bell,@VeraBellAuthor,Jun 4,"#ShamelessSelfpromoSunday 

Day 1 of my BookBub Featured Deal

P.S. I’ll post a photo of an adorable animal for every RT 

#WritingCommunity #ReadingCommunity #BookSale #TBR #bookbub #love #RomanticSuspense #ebook #RomanceReaders #timetravel",33,29,44
Viktor Rhys,@viktorrhys,May 31,No mission is impossible #love #bigcats #animals,,1,
Peter Your Boyfriend,@Peteryourbf11,May 31,Peter Your Boyfriend Comic! #comic #art #love #cute #YourBoyfriendfanart,2,2,60
Zee,@growingupzee,Jun 2,"Remembering Zee, in all of her glory.  #CatsOfTwitter #love",7,26,203
Aurellia ♡☆♡,@Aurellia42,Jun 4,"Caffee Pause.
Follow Me 
#Love
Love you all 
#Beautiful",5,100,"1,188"
R.N@turebeauty2,@R__Naturebeauty,May 30,"For you my friends 
#rose #love",2,64,124
chika,@chikadancesalot,Jun 3,"Typhoon was gone.
The blue sky and fresh air returned.

My heart bloomed.
I owe you.
Perhaps I took things too seriously.
I can’t take back my mistakes,
I lost long time.
There’s no use regretting it.

Lightly, softly 
I fly, humming, dancing.
I hope it’s not a good-bye.

#love",4,7,40
