Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
Ira,@TheJazzSoul,May 19,"Alicia Keys 

""If I Ain't Got You""

https://youtu.be/-mAGQUsV6Nw
#Music #Musique #Musica #SoulMusic
#Jazz #Love #Peace",5,160,355
RappCats,@RappCatsAdopt,May 18,"She looks innocent, but she has her brother pinned!And, she's quite happy about it! #adoptdontshop #kitten #kittens #pets #cat #Purrsday #thursday #virginia #PositiveVibesOnly #PositiveEnergy #cute #baby #babies #KittyTwitter #animals #fun #play #thursdayvibes #luv #love",14,61,252
Holy Post Podcast,@HolyPostPodcast,May 18,"It only makes sense that Rainn and Skye made a pretty great interview pair! 

What did you think of episode 565?

Full episode is below if you haven't listened yet! 

 https://loom.ly/e2pJXg8

#podcast #christianity #love #jesuschrist #holypost #bible",40,27,281
Busy Bee from Poland | | supporting |,@Innocencja,May 18,"Ukrainian #Vyshyvanka #вишива́нка is not only a traditional part of Ukrainian garderobe. 

It's a national symbol of the #struggle for #independence and a symbol of #love for #freedom

On a photo, First Lady of Ukraine, Olena Zelenska on a meeting with Ukrainian diaspora in…",3,8,51
Emma-Jane Taylor (E-J),@ejtayloruk,May 19,"Nights should bring peace, calm & good care, 
Nights should bring love and sweet dreams that we share, 
And so with this note, I wish you goodnight, 
And pray you are resting with hearts full of light. 

#goodnight #friends #thoughts #hugs and #love ",3,2,25
@KFartx,·,May 18,My vape matches my gf's jewelry #CoupleGoals,2,,12
Catherine Meyrick,@cameyrick1,May 19,"‘I adored everything about this novel. I was swept away by the romance, the history, and the characters themselves.’ – Candlelight Reading
Review: http://bit.ly/2RKu3QN

#HistoricalFiction #Elizabethan #LoveStory
http://books2read.com/ForsakingAllOther…",3,218,124
CARA,@CaraHartl4,May 19,Current situation with the crew … Myles always on the out #Dogsoftwitter  #Blessed #Love ,7,5,32
Miss Positivity,@harnessdhashtag,May 19,#Friday & #coffee yesss to both! #trainlife #work sending #love wherever it is needed beautiful peeps xx,,1,10
AnimalLeague,@AnimalLeague,May 18,"Meet Nikk! She's a 7-month-old American Staffordshire Terrier mix who needs a loving home where she can be spoiled. 
Bring your family & any canine siblings to our Port Washington, NY, adoption center. 
 Adoption#: T106351
 #GetYourRescueOn #AdoptThisDog  #RescuePup #Love",2,40,61
⍟ ᥫ᭡ Ɠя3тє ᥫ᭡ ⍟,@Gr3Te4rights,May 19,Couple therapy  Avoidant #101 with Sabrina Z. #GretiansTag #effortnotperfection #consistency #commitment #compromise #avoidant #mentalhealth #MentalHealthMatters #FA #DA #attachmentstyle #relationships #Resist #Democrats #MensHealth #mensmentalhealth,2,2,8
⍟ ᥫ᭡ Ɠя3тє ᥫ᭡ ⍟,@Gr3Te4rights,May 18,Daily reminder  #GretiansTag #genuinefeelings #effortiseverything #KindnessMatters #Resist #mentalhealth #RelationshipAdvice #MentalHealthActionDay #Gr3toplist #relationships,1,1,5
It Is Written,@itiswritten,May 18," Christ shows us life-changing love!

#love #sacrifice #help #savior #truth #help #sin #victory #faith #itiswritten #verseoftheday #inspirational #salvation #God #Jesus #HolySpirit #Christ #blessed #goodnews #gospel #Bible #photooftheday #scripture #iiw",3,27,76
mInIjI,@seeemaMiniji,May 18,"@VidyutJammwal
 True Inspiration to stay positive,to never give up to keep on working the things you love to do
मेहनत की सीढी एक दिन कामयाबी की मंज़िल तक जरूर पहुँचाएगी
#King #KOHINOOR #COUNTRYBOY #vidyutjammwal #INSPIRATION #LOVE #JAMWALIONS",2,6,17
Cheryl Nash,@cherylnash2,May 19,"Teaching my little Savannah early that Girls Can Do Anything!  She is soaking it all in!  It’s never too early to start teaching important lessons. 

#womenempoweringwomen #teaching #love",3,,21
Jason Evert,@jasonevert,May 19,The TRUTH about why hookups fail: #dating #jasonevert #relationships #hookup,1,7,33
"Kelly Miller, #BestSelling #Regency #Author!",@Kellyrei007,May 19,"Thanks, Iona!
Links: 
@plstuartwrites
 @TabithaWomack_1
 @joanne_paulson
 
“Accusing Mr. Darcy,” a #PrideandPrejudice #Regency #Romance/#Mystery. Does Mr. Darcy have a sinister secret?
At #Audible! On #KindleUnlimited!
“romantic and thrilling”

http://mybook.to/AccusingMrDarcy1…",,7,9
"Kimberly Hunt, Editor",@RevisionDiv,May 18,"Working on a dev edit today. I've read and listened to the ms while taking notes. Now it's time to make valuable suggestions to elevate this draft to a memorable five-star bestselling #romance novel!
What are you doing today?
#WritingCommunity
#IARTG
#amediting
#EditorForHire",,1,6
Robert Ratemo,@4ratemorobert1,May 19,"Two bikers.

#art #artist #painting  #acrylicpaint #canvas #brush #reality #dalilylife #painter #artistry #artistic #talent #passion #selfthaught #artistsplatform #selfpromotion #people #nature #followformore #newposteveryday #love #artafrica #painting #artafrica",1,8,52
Heather Lynn- working on book 4,@SkyWatcher_HL,May 19,"Charlotte knows that walking thru one door often closes others, so when she dreams of warnings from the future she left behind she needs to know—is Jessica reaching out to her? Why? What is she trying to say?

Sky Watcher: Déjà-Vu (#2)
http://mybook.to/SkyWatcher2

#fantasy #romance",1,16,14
MarionBerndt,@MarionBerndt,May 19,"One day too late...
but perfectly in our plan...

Have a peaceful night! X

#loveletters  #poetry #poetrycommunity #amwriting #WritingCommunity #love",1,2,11
Creativity's Calling,@CreativitysCall,May 18,Buddha? Buddha. Smile. The work continues. The beat goes on. Melodies. Harmonies. #ThankYou #Joy #Kindness #Love #Play #Purpose,,3,22
Palomino Ridge Ranch Horse Rescue & Sanctuary,@PRRHorseRescue,May 18,"Baby Surprise and momma Fancy are now with Simon and Coro! Our sweet filly is so very happy to have a couple of new friends 

http://Linktr.ee/PRRHR

#horse #rescue #surprise #filly #mareandfoal #friends #horserescue #texashorserescue #love #support",,32,49
Kabbalah.info,@Kabbalahinfo,May 19,"We will gradually come to feel that expressing altruism, or unselfishness, toward others is a special and sublime value.

#wisdomquote #spiritualquote #egoism #selfishness #altruism #generosity #bestowal #love #careofothers #givng #spiritualadvancement #innerwork #personalgrowth",,12,33
German Shepherd Lover Club,@GSD_Lover_Club_,May 18,"What a beauty ⁣
TAP & RETWEET if you are a German Shepherd lover 

Follow 
@GSD_Lover_Club_
 for more cute content

#doglover #german_shepherd #cute #love #gsd",2,37,455
Lana Crypto Queen,@Lana_Crypto99,May 18,"GN #LOVE 

Busy day today. Building Discord server for WLed people.

Discord Launch expected this week! ",13,9,26
Dr. Jesse Popp,@JessPopp,May 19,"The #WISElab had a wonderful day building relationships in Shawanaga First Nation. Learning, building friendships, co-developing research objectives, helping with turtle & snake surveys 
#5RsIndigenousResearch
#Relationships
#Reciprocity
#Respect
#Responsibility
#Relevance",,4,27
Remythemeteorologist,@Mardi_Graszz,May 19,"Check out my new full-length music video ""All my Hearts live in different States than Me""  https://distrokid.com/videos/watch/dv-qD1E0lYc7… (video uploads by 
@distrokid
) #love",,1,5
Letsgoforapint,@letsgoforapint,May 18," This Saturday at 8pm BST, We will be hosting an It’s Always Sunny In Philadelphia Trivia Night on 
@MoarPlatform
 download the app from your devices App Store and join us for a beer  at paddy’s pub  #moar #CoupleGoals #quiz #alwayssunny #Netflix #trivia",1,3,8
Cranbury College,@CranburyCollege,May 19,"Wonderful evening celebrating the NEW Mrs Lucy  #YourFutureStartsHere 

#CranburyFamily #Love #Laughter",1,1,13
AuthorGingerLee,@glee_writes,May 19,"I can’t wait.!!!

Romance & Vampires
(Book 2 Love Bites Series)

Cover model Keith Manecke
Photographer 
@cjcphotos
 

 COMING SOON 

#comingsoon #book #newbook #series #romance #vampires #witches #london #polyamorous #dominate #takecontrol #indie #indieauthor",1,3,13
Cassandra B. Leigh Darcy or Lizzy?,@leigh_carol,May 19,"Darcy the Terrible: A #PrideAndPrejudice / The Wonderful Wizard of Oz Crossover. 

Darcy's not a terrible man, he's just a terrible wizard.
  
#MrDarcy #Regency #Romance #Fairytale 
#KindleUnlimited 

https://mybook.to/DarcyTheTerrible…",,10,7
Nikoo and Jim,@NikooAndJim,May 19," May Gray strikes California! Film at 11. - https://mailchi.mp/jancoffey/may-gray-strikes-california-film-at-11…

#booklovers #romance #ReadersCommunity #RomanceReaders #booklover #blogs #bookrecommendations
#NewRelease
#booktwitter 
#bookboost
#bookblast
#suspense
#thrillers
#boxset
#bargains
#free
#iartg",1,2,2
"Kelly Miller, #BestSelling #Regency #Author!",@Kellyrei007,May 19,"Thanks, Kady!
Links: 
@LadyWolfenJord1
 @OyinloyeSabrina
 @EHollandAuthor
 
“The ending was satisfying, and lovely and made me shed a tear or two""

“A Dutiful Son,” a #Regency #PrideandPrejudice #Romance!
#BooksWorthReading
On #KindleUnlimited! At #Audible!…",1,16,15
OceanProtectionLeague,@OceanProtectL,May 19,"Stop Leaf Blowing.  Raking Reduces Noise and Air Pollution. 

#OceanProtectionLeague #SaveTheOcean #ocean #beach #nature #sea #travel #love #sky #water #climatechange #Sustainable #climatecrisis #Recycle4Nature #recycling #ClimateAction #environment",,3,3
$love,@loveandwardefi,May 18,"The $love fountain starts tomorrow 5/19

IF you hold 8 #LOVENFT 

THEN you may offer 128 $love

TO use the fountain

THEN you must #HODL those 8 #LOVE #NFT for 32 MOONS

IF you do

THEN you will have earned 2048 $love per 8 #LOVENFT held up to 4096 total.

BUT….. 1/2 #HBARNFTs",5,11,14
RevdJacquiT,@RevdJacquiT,May 18,"Where is your peace? This is mine tonight, & you have been prayed for here. Admittedly quite early because I have no staying power after a lovely but tiring day. God loves you. Good night Tweeps #prayer #peace #love #God",2,,116
Stephenson Holt Author,@HoltStephenson,May 18,"Amazon https://amzn.to/3MfpkPH 

Kobo https://bit.ly/3Md0vnp 

Waterstones paperback https://bit.ly/3IoSYkn 

Barnes and Noble paperback https://bit.ly/3Iggyj5 

#romance #dark #steamy #kobo #waterstones #Barnesandnoble 

http://bit.ly/3ImMZN4",,4,3
Q.QuEEn (艾瑞卡),@QueenQQ25,May 19,"#TGIF #Yeah_its_Friday
#Beautiful_day_to_Everyone
 #BT #TWTTTL #BW
https://youtu.be/7Sl0b-S73c8
#Jesus_i_love_you
-Smuse production -
#Love#Peace",,4,6
MM. Justine,@mmjustineAuthor,May 19,"TRAITORS from INSIDE OUT: 'A cliffhanger ensures that readers will keep their eyes out for the sequel. Plentiful suspense and an indelible protagonist foster a gratifying medical tale.’ ~ Kirkus Review
#medicalThriller #mystery #suspence #romance #IARTG  https://amzn.to/3MGIuiI",,9,6
Jon Evan Glaser,@ImagesByJonEvan,May 19,Art for the Eyes!  https://buff.ly/3fIjeZF #artforsale #naturelovers #artlovers #fineartamerica #saatchi #wallart #nature #artworks #home #photooftheday #amex #visa #love #picoftheday #decor,1,4,11
LINDA-MICHAELA,@_Linda_Michaela,May 18,"They've prepped for the mission...but it's only the beginning.    So excited for you all to read our original Romantic Action Thriller #ROMANTICHEARTBEATS via BEAUTYWOMANTOWOMAN this May. https://beautywomantowoman.com/the-golden-hour

#ThursdayVibes #Russia  #Romance  #Love #Travel #Politics",1,2,5
IfeOkeyLove,@ifeokeylove,May 18,"How we met and married in 4 months! Beware of dream manipulations and counterfeits - now showing on YouTube! Watch and subscribe 

With love 
@ifeobanwo
 @okemaduking
 

#ifeokeylove #linkinbio #love #joy #marriage #married #peace #PodcastAndChill",,3,3
Jeff Pehrson,@JVPehrson,May 18,"#TBT That time Box Set played Eugene and Mountain Girl came to hang out! Coincidentally, Sara is interviewing MG for an upcoming episode of 
@plantedwithsara
 today! #BoxSet #MountainGirl 
@furthurband
 #GratefulDead #deadheads #love #music #JerryGarcia 
@SaraMPayan",1,7,28
Hill West,@hillwestprimary,May 18,"There’s nothing better than connecting with colleagues and friends during mental health awareness week. As we all know, Dr Warrack gives the best hugs  and is a tonic for the soul 
@the_atlp
 
#connection #respect #belonging #love",1,2,12
Kari Joys MS,@KariJoys,May 19,"Breathe in #Beauty:
Exhale #Gratitude!

#JoyTrain #Joy #Love #Kindness #MentalHealth #Quote #Quotes #Mindfulness #GoldenHearts #IAM #Blessed #IQRTG #spdc #ThankfulThursday #ThursdayThoughts #ThursdayMotivation #ThursdayMorning",,8,10
Ken Fry,@KenFry10,May 19,"In the end, Lady Aveline must do what she must...
even if her choices break her heart.
 http://getbook.at/thefinalsacrifice…
Prepare for battles and conflict as she tries to regain her family's honor.
#FREE #Kindleunlimited
#histfic #mustread #bookworms
#kindlebooks #medieval #romance",2,16,10
Melisa Quigley Author,@MQuigley1963,May 19,"Thanks, Tristan.
This weekend pick up a copy of my debut novel, The Complexities of Love. If you thought your family was strange, it might be the new normal.
https://5310publishing.com/book/the-complexities-of-love…
#Lovestory #BookFriday #book",1,40,42
Annie Acorn,@Annie_Acorn,May 18,"Need a Happily Ever After? Try A Second Kiss for Christmas https://amzn.to/3oQPviy– my new standalone, full-length novel #LunaLakeCabins #Christmas #Romance Enjoy! #SecondChances #Humor #Amazon #Kindle #Nook #Walmart #Kobo #BookBoost #IARTG #SWRTG #TW4RW #BYNR :-)",,3,3
"Kelly Miller, #BestSelling #Regency #Author!",@Kellyrei007,May 19,"Thanks, Mates!
Links: 
@SylviaWoodham
 @PaulSaylorWOI
 @scinerd28
 
“riveting and delightful”

“Death Takes a Holiday at Pemberley,” a #PrideandPrejudice #Regency #Paranormal #Romance ideal for fans of #Bridgerton or #JaneAusten! Mr. Darcy meets an angel of death!
At…",1,5,7
𝔖𝔢𝔲𝔪𝔞𝔰𝔅𝔬𝔫𝔡,@SeumasBond,May 19,"#AlwaysBNice4Ever
#00SaidIt☞❷➄➂

""M' #Brain is #Dumb #Enough""

#JamesBond #SirSeanConnery #OscarWorthyActing ""#Quite #Mad u #Know. #Takes #One 2 Know One. #Blondie #Hell"" 
#Love #Smile #Laugh #Cry #Talk #Human #MustachePower#MentalHealth #BeU #GoldFinger",2,16,92
Blue 's,@EileenPCarry,May 19,"‘It is an art to surrender to momentary pain—a chance to add color to the canvas.’ 
—#Nature 

We dare not reject true #love’s face. 

#Artist ,
“Momentary Metamorphosis"" 
by Phresha
http://etsy.com/listing/866582…",,1,5
Life Love Coffee,@Ms_Coffeelover,May 18,"Treat every living being
Including yourself with kindness
And the world will immediately be a better place.

- Timber Hawkeye 

#Love #Life #Inspiration #Kindness",1,,7
Jason,@JasonDothard,May 19,Carrollton Trojans 4 Life! #LOVE ,,1,5
Navin Elementary,@NavinElementary,May 19,"Thanks to Navin’s own SRO Officer Rowe & all Officers who serve & protect during National Police Week! We appreciate all that Officer Rowe does for Navin and our kids! 
@MarysvilleEVSD
 @marysvilleohPD
 #bestsro #relationships #navinrocks",,,10
IT Wing,@bkitwing,May 19,"#God is the ultimate source of #love & #kindness. He is our supreme father. We just need to have full #faith - ""God is mine and I belong to God'. When we surrender ourselves and take one step of #courage, we receive multifold help from him.
#bkitwing #brahmakumaris",,10,22
Jason Kopp,@KoppDC,May 19,"Liveaboards watching videos tonight of a beloved dog companion to one of our families and saying goodbye as a community.
#community #justaddwater #boating #boatlife #boatdogs #family #truelove",1,,5
Dr. Linda Berman,@LindaBerman4,May 18,"“Real friendship or love is not manufactured or achieved by an act of will or intention. Friendship is always an act of recognition.”
John O'Donohue

#friendship #love #recognition",,2,8
We Save Lives,@wesavelivesorg,May 18,"#prom Going to the prom? Please make these your traditions.
#love #parties #teens #Graduation 

Because we care . . .",,7,10
