Name,Username,Post Date,Tweet Text,Reply Count,Retweet Count,Like Count
John Anthony Miller,@authorjamiller,May 13,"The Widow’s Walk
Cape May. N.J., 1976:
Mystery, romance and buried treasure for a divorced NYC editor.
#mystery #cozymystery #Romance
https://amazon.com/dp/B09F6Q41CH/
https://amazon.co.uk/dp/B09F6Q41CH/",,12,9
"peace, peace, peace",@gede_prama,May 13,"Keep seeing others... #Bali #Love #Peace #IDWP
@KariJoys
 @AngelHealingArt
 @Conduru
 @loveGoldenHeart
 @PlumVillage
 @Dianne__LadyD
 @ReikiArthur
 @PrachiMalik
 @RedMajid
 @Inspireu2Action
 @JanetNestor
 @BabyGo2014
 @DalaiLama
 @BarackObama
Photo courtesy: Pinterest",,3,6
Kings Heath United Against Racism,@KingsHeathUnity,May 13,Myki Tuff + Friendly Fire Band  #UnityWeekender #Reggae #Dancehall #Birmingham #Music #Peace #Love #Unity,,5,4
Pleasant Days,@Thedeepfriedte1,May 13,"Too much injustice in this world. Too much prejudice, discrimination, and it keeps going on. 

#peace #love",1,3,9
"peace, peace, peace",@gede_prama,May 12,"In winter... #Bali #Love #Peace #IDWP
@KariJoys
 @AngelHealingArt
 @Conduru
 @loveGoldenHeart
 @PlumVillage
 @Dianne__LadyD
 @ReikiArthur
 @PrachiMalik
 @RedMajid
 @Inspireu2Action
 @JanetNestor
 @BabyGo2014
 @gary_hensel
 @DalaiLama
 @BarackObama
Photo courtesy: Pinterest",,1,8
𝙃𝙤𝙪𝙙𝙞𝙣𝙞,@houdini_af,May 12,"The number of amazing lovers in this lil movement has grown today to 255.  More than doubled 

Thank you  #hbar

Wallets that had very few #NFT, I just sent you enuff $love to get another one.



it’s all so #love ",4,5,15
A.A. Schenna,@ASchenna,May 12,"Brenda thought she was too old and romances were over until she met John.
#Romance #KindleUnlimited 
https://amazon.com/Love-Behind-Bars-Schenna-ebook/dp/B0C413NS6Y?ref_=ast_author_dp…",,13,6
Finn Stitch (Comms open),@Finn_Stitch,May 13,"Good night ye beautiful pirates, thank you all for the love you shared with me today 

It has been a really nice Bday

Much love! See you all again in a few hours

#love",,2,8
☆*.:｡.✿ ᒍᗩᘔᗰIᑎE .:**:.☆*.:｡.✿,@SuspirosAlAlma,May 13,"You always make me smile endlessly.

#truelove",,22,40
"Mark Scott Piper, Award-Winning Author",@mpiper_writer,May 13,"This elegantly written novel is rich in historical detail, compelling characters, humor, adventure, and even a little romance. A very satisfying read.”

“I was gripped from the first page to the last.”

#mystery #literary #adventure #romance

https://amazon.com/Old-Block-Mark.../dp/B08J89TKYR…",,14,6
