Name,Username,Date_Posted,Tweet,Reply_Count,Retweet_Count,Like_Count,Relations
NateBige,@NateBige,Jun 5,"Day 24 #WEWANTBOO 
@boo_Carter6
 ake That ove! Come help 
@JacobOden4
 create that NO FLY ZONE! 

What’s the word? 

#GoBlue | #Family | #Born2Play4Michigan | BF",2.0,9.0,53,family
NateBige,@NateBige,Jun 5,"Day 22 of tweeting until 
@IMarion_Stewart
 commits to catching dimes from JD in the Big House! 

#GoBlue | #Family | #Born2Play4Michigan | BF",1.0,5.0,43,family
CabBazar,@cabbazar,23h,"World Environment Day
Book Cab now:-https://cabbazar.com

#travel #outstation #cabs #family #tour #tourism #cabbazar #india #destinations #phototour #worldenvironmentday #world #environment #day #environmentday #worldenvironmentday2023 #environmentday2023 #environmentdayindia",,7.0,3,family
Taylor Spice Latte,@Xanderdash,Jun 3,"Yo! This show called #FamilyonTubi is wild! This dude is a serial cheater and begging a second chance, and then you slapped her in front of the JUDGE?! Wild! #Family",6.0,8.0,18,family
Shomari Stone,@shomaristone,Jun 4,"We are proud dads of back to back Big Ten Champions:
@blake_corum
, 
@jjmccarthy09
, 
@ShomariStoneJr
 

@UMichFootball
 #family #GoBlue",9.0,22.0,327,family
Patty Jackson,@MsPattyJackson,Jun 4,"Congratulations Niah! 
Temple U Here she comes! #Family #Generations #SouthPhilly",4.0,4.0,97,family
NateBige,@NateBige,Jun 5,"Day 29 of Tweeting until 
@AaronScottJr1
 commits to THE university of Michigan! 
#NoFlyZone 

#Family | #GoBlue | #Born2Play4Michigan | BF",2.0,9.0,52,family
𝐌𝐚𝐦𝐢 𝐒. 𝐊𝐚𝐭𝐞,@mami_mami813,Jun 5,"Wake up and welcome yet another wonderful morning in your life. Rise and shine my little ray of light. The day ahead is filled with challenges, but it's also filled with wonder, excitement, and my love for you. Have a great Monday and week ahead.. 

#Family  #Love ",2.0,28.0,55,family
Early Evening,@npr40,16h,The Sheltons!!! #teensinlove #forever #family #lovethem,1.0,5.0,41,family
Matt DeLuise,@MattDeLuise,Jun 3,"#Charmed is more than a #tvshow to so many people.   
@H_Combs
 @DohertyShannen
 @rosemcgowan
This show is #family, is growing up, is sisterhood, is brotherhood, is always doing the right thing to help the others and to be a nice human being.  
Thanks to 
@EDITWRR
 for the am edit",2.0,4.0,47,family
NateBige,@NateBige,Jun 3,"Day 22 #WEWANTBOO 
@boo_Carter6
 ake That ove! Come help 
@JacobOden4
 create that NO FLY ZONE! 

What’s the word? 

#GoBlue | #Family | #Born2Play4Michigan | BF",6.0,13.0,135,family
La Toya Jackson,@latoyajackson,Jun 3,"Rummikub! Mothers favorite game! Guys this is the best game ever! 

#Fun #Family #Mother #latoyajackson #games #Funtime #life #instagood #rummikub",27.0,46.0,311,family
NateBige,@NateBige,Jun 4,"Day 54 until 
@Aaron7Chiles
 commits to helping lead our D to being one of the best in the nation! 

#family | #GoBlue | #Born2Play4Michigan | BF",2.0,4.0,35,family
Ellie Japan,@EllieJapan2022,Jun 4,"Look, the Dragon is here!

#Dragon #Buddhism #FireflyLane #familytime #Tokyo #Japan #HOLY #classic",1.0,3.0,29,family
NateBige,@NateBige,Jun 5,"Day 13 of tweeting until 
@jjls_14
 commits to joining his brother 
@Jerodsmith44
 in the Big House creating a lock down DL! 

IT IS TIME!!!

#GoBlue | #Family | #Born2Play4Michigan | BF",2.0,6.0,28,family
NateBige,@NateBige,Jun 4,"Day 28 of Tweeting until 
@AaronScottJr1
 commits to THE university of Michigan! 
#NoFlyZone 

#Family | #GoBlue | #Born2Play4Michigan | BF",4.0,6.0,73,family
